University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Pardee RAND Graduate School,Policy Analysis,"$42,150",,2020-2021,2nd,"$54,000",,,"$11,850","Tuition scholarship of $8,650 subtracted from required fees and not added to gross pay."
Massachusetts Institute of Technology (MIT),Computer science,,0.00,2020-2021,6th and up,,,,,
University of California - Berkeley,Chemistry,"$36,000",1.30,2021-2022,1st,"$36,000",,,,"Plus health, dental and vision coverage"
University of Tennessee Health Science Center,Pharmaceutical Science,"$24,505",1.09,2020-2021,1st,"$25,000",,,$495,"$495 per semester registration fee
$99 per semester parking fee
tuition waived 
health insurance (excluding dental and eye)"
Rice University,Mechanical Engineering,"$25,374",1.16,2020-2021,1st,"$26,000",,,$626,
Rice University,Mechanical Engineering,"$25,374",1.16,2020-2021,1st,"$26,000",,,$626,
George Washington University (GW),Mechanical and Aerospace Engineering,"$24,081",0.78,2020-2021,1st,,"$25,000",,$919,"*$25,000 for 9 months as departmental fellowship. Summer stipend is provided by the lab PI (if any) which is obviously below than the aforementioned rate.
**Fees include health insurance for spring semester, matriculation fee (one time), student association fee and international services fee."
University of Maryland - College Park (UMD),Information,"$23,200",0.77,2020-2021,,,"$23,200",,,
University of Chicago (UC),Chemistry,"$35,730",1.47,2021-2022,1st,"$35,730",,,,Plus health insurance coverage
University of Texas - Austin (UT),Biomedical Engineering,"$27,591",1.21,2021-2022,1st,"$27,591",,,,Minimum Stipend
Boston University (BU),Biomedical Engineering,"$36,782",1.28,2021-2022,1st,"$36,782",,,,
University of Minnesota - Twin Cities (UM),chemistry,"$27,000",1.18,2020-2021,1st,"$27,000",,,,
University of California - Davis (UCD),Nutritional Biology,"$27,000",1.13,2020-2021,1st,"$27,000",,,,
,Rehabilitation sciences,$-800,,2020-2021,1st,,"$1,200",,"$2,000",
University of Illinois - Chicago (UIC),Rehabilitation sciences,$-800,-0.03,2020-2021,1st,,"$1,200",,"$2,000",
North Carolina State University (NCSU),Microbiology ,"$18,500",0.81,2020-2021,4th,,"$18,000","$3,000","$2,500",
Washington State University (WSU),Environmental sciences and natural resources,"$29,000",1.53,2020-2021,1st,"$31,000",,,"$2,000",
University of Northern Colorado (UNC),,"$23,800",1.15,2020-2021,5th,"$24,500",,,$700,
University of Pennsylvania,Graduate School of Education - Education Policy,"$28,107",1.17,2020-2021,1st,,"$28,107",,,
Florida Atlantic University (FAU),BIOMEDICAL,"$28,900",1.21,2020-2021,1st,"$30,000",,,"$1,100",
University of Alabama - Birmingham (UAB),Biology,"$26,000",1.21,2020-2021,2nd,"$26,000",,,,
University of Notre Dame (ND),AME,"$31,500",1.54,2020-2021,,"$31,500",,,,
Princeton University,Neuroscience,"$38,300",1.51,2020-2021,1st,"$38,300",,,,
North Carolina State University (NCSU),Plant and Microbial Biology ,"$21,772",0.95,2020-2021,3rd,"$24,349",,,"$2,577",
Virginia Tech,Chemistry,"$21,923",1.04,2020-2021,3rd,"$23,000",,,"$1,077",
University of Notre Dame (ND),Computer Science and Engineering,"$32,544",1.59,2020-2021,,"$32,544",,,,
,,"$24,000",,2020-2021,,"$24,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Physics,"$24,000",1.09,2020-2021,1st,"$24,000",,,,
,,"$500,000",,2020-2021,,"$500,000",,,,
University of Kansas (KU),Speech-Language Pathology,"$24,000",1.17,2020-2021,3rd,"$24,000",,,,
Syracuse University,Sociology ,"$2,600",0.12,2019-2020,1st,,"$2,600",,,$25k because of a fellowship and will earn $21k on a TA/RAship. 
Northwestern University (NU),Chemical and Biological Engineering,"$34,176",1.41,2021-2022,1st,"$34,176",,,,$750 relocation 
Ohio State University (OSU),MSE-WE,"$26,868",1.34,2021-2022,1st,"$28,368",,,"$1,500",
Ohio State University (OSU),MSE-WE,"$26,868",1.34,2021-2022,1st,"$28,368",,,"$1,500",
Athens Ohio,Physics,"$27,000",,2021-2022,1st,,"$27,000",,,
,Physics,"$30,000",,2021-2022,1st,"$30,000",,,,
University of Massachusetts - Amherst (UMass),Physics,"$30,000",1.31,2021-2022,1st,"$30,000",,,,
University of California - Santa Barbara (UCSB),Chemistry ,"$45,102",1.72,2020-2021,1st,"$45,102",,,,
CUNY - Hunter College,philosophy,,0.00,2020-2021,6th and up,"$16,000",,,"$16,000",
Emory University,Molecular and Systems Pharmacology,"$31,177",1.34,2020-2021,5th,"$31,750",,,$573,Fees are about 1.5-2x higher before you reach candidacy and no including parking (~$700/yr). Pay does not change year to year. After taxes I have $2420 each month which is definitely livable in Atlanta.
Boston College (BC),Chemistry,"$34,500",1.24,2020-2021,1st,"$34,500",,,,
Johns Hopkins University (JHU),School of Medicine,"$33,000",1.28,2020-2021,,"$33,000",,,,
North Carolina State University (NCSU),Bae,"$26,000",1.14,2020-2021,4th,"$30,000",,,"$4,000",
University of Notre Dame (ND),Biochemistry,"$31,000",1.51,2020-2021,1st,"$31,000",,,,
China Academy of Chinese Medical Sciences,China Academy of Chinese Medical Sciences,"$-1,081",,2020-2021,1st,,$463,,"$1,544",
Morehouse College of Medicine,Biomedical Science,"$30,000",1.29,2020-2021,6th and up,"$30,000",,,,taxes are not taken out; health insurance and all student fees are covered by grad program; tuition waivers for tuition payments
Rice University,Statistics,"$24,000",1.10,2020-2021,,,"$24,000",,,
Iowa State University (ISU),Geology,"$22,800",1.07,2020-2021,2nd,"$24,000",,,"$1,200",Additional $12000 in pay from grad college but that is not base salary. 
North Carolina State University (NCSU),,"$24,212",1.06,2021-2022,1st,"$25,500",,,"$1,288",
University of Hawaii - Manoa (UH),NREM,"$24,462",0.80,2020-2021,1st,"$24,912",,,$450,
Tufts University (TU),computer science,"$2,800",0.10,2020-2021,1st,"$2,800",,,,
Harvard University (HU),Computer science,,0.00,2020-2021,1st,,,,,
North Carolina State University (NCSU),Toxicology,"$27,700",1.21,2020-2021,1st,"$29,000",,,"$1,300",
Columbia University (CU),Earth and Environmental Sciences,"$41,250",1.39,2020-2021,1st,"$41,250",,,,
University of Wisconsin - Madison (UW),,"$23,000",1.01,2020-2021,1st,"$23,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Chemical and Biological Engineering,"$34,000",1.55,2020-2021,1st,"$34,000",,,,"A minimum stipend of 31k. Fellowship adds 3k for 1st, 2nd, and 3rd years.  One time bonus of 1k for moving and 2k spending allowance for academic/research (laptop, textbooks, etc.)"
Mount Sinai School of Medicine,MD/PhD,"$34,000",1.14,2016-2017,3rd,"$34,000",,,,
University of California - Irvine (UCI),Cognitive Sciences,"$27,000",0.92,2020-2021,4th,"$27,000",,,,Insurance and tuition are covered
University of California - Santa Barbara (UCSB),ECE,"$35,000",1.33,2020-2021,2nd,"$35,000",,,,
George Washington University (GW),Immunology,"$33,000",1.07,2021-2022,1st,"$33,000",,,,
University of Oregon (UO),Counseling Psychology ,"$23,200",1.11,2020-2021,4th,"$23,200",,,,"Pay is on a set schedule based on advancement in the program. Benefits include health insurance, fees, use of university services such as the gym and health center, maternity/paternity leave. Funding over the summer varies-- I have funded over the summer but did not for my first two summers. "
