University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Wayne State University,Pharmacology,"$23,500",1.13,2018-2019,3rd,"$25,000",,,"$1,500",
Wayne State University,Pharmacology,"$25,500",1.22,2018-2019,3rd,"$27,000",,,"$1,500",
Northwestern University (NU),Computer Science,"$32,344",1.33,2018-2019,2nd,"$32,844",,,$500,
University of Wisconsin - Milwaukee (UWM),political science,"$18,000",0.84,2018-2019,,,"$18,000",,,
Stanford University (SU),Physics,"$40,476",1.41,2019-2020,1st,"$87,040",,,"$46,564",
Irell and Manella Graduate School of Biological Sciences,PhD in Biological Sciences,"$33,850",,2019-2020,2nd,"$34,000",,,$150,
Stanford University (SU),Biology,"$34,000",1.18,2015-2016,,"$34,000",,,,
Duke University (DU),UPGG,"$31,800",1.43,2018-2019,,"$31,800",,,,
University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,"$28,000",1.08,2018-2019,3rd,"$28,000",,,,
Stony Brook University - SUNY,Materials Science and Chemical Engineering,"$19,436",0.70,2018-2019,2nd,"$20,307",,,$871,"Almost $1000 per semester in fees, 8.6% of my gross annual pay. Academic Excellence fee: $236.35, College Fee: $46.80, Graduate Activity Fee: $45.00, Health Service Fee: $181.00, Technology Fee: $362.75. The Health Service Fee does not include health insurance.  "
Case Western Reserve University,BSTP,"$30,000",1.50,2018-2019,1st,"$30,000",,,,
University of Minnesota - Twin Cities (UM),Social Work,"$14,000",0.61,2018-2019,4th,,"$16,000",,"$2,000",
Indiana University,Cognitive Science,"$22,000",1.02,2019-2020,1st,"$22,000",,,,IU has ridiculous mandatory fees. Tuition was also covered by only 95% but thankfully for College of Arts and Science this will change starting from 2020.  However mandatory fees are still there and a good chunk of our pay goes to that.
University of Michigan - Ann Arbor (UM),Physics,"$32,600",1.41,2019-2020,1st,"$32,760",,,$160,"It's comfortable enough to live on the stipend. Mandatory fees of $80 per semester. One of the best health insurance included as benefits. For the first two semesters, 25% TA is required and department matches the other 25% with a fellowship."
University of Michigan - Ann Arbor (UM),Physics,"$2,730",0.12,2019-2020,1st,"$2,730",,,,"It's comfortable enough to live on the stipend. Mandatory fees of $80 per semester. One of the best health insurance included as benefits. For the first two semesters, 25%  TA is required and department matches the other 25% with a fellowship. "
Mayo Medical School,Molecular Pharmacology and Experimental Therpuetics,"$32,775",1.45,2018-2019,4th,"$32,775",,,,
University of Nevada - Reno (UNR),Chemistry,"$21,200",1.01,2018-2019,4th,"$22,200",,,"$1,000",
University of Toledo,Population health,"$14,000",0.75,2019-2020,,,"$14,000",,,
Stony Brook University - SUNY,Computer Science,"$28,000",1.00,2018-2019,1st,,"$20,000","$10,000","$2,000",
Stanford University (SU),East Asian Languages and Cultures,"$39,842",1.39,2019-2020,4th,,"$32,868","$8,000","$1,026","Funding is for an RAship, and our department gives us two guaranteed summers of funding at $8000.  It's pretty difficult to live on this in the Bay Area, and Stanford graduate housing costs 50% of my annual pay. "
Stanford University (SU),Civil and Environmental Engineering,"$43,556",1.52,2018-2019,6th and up,,"$32,868","$10,956",$268,
Harvard University (HU),School of Engineering and Applied Sciences,"$37,932",1.32,2019-2020,1st,"$37,932",,,,
University of Missouri (MU),English,"$8,300",0.40,2019-2020,1st,,"$8,900",,$600,
Vanderbilt University,Interdisciplinary Graduate Program (IGP),"$31,500",1.37,2019-2020,1st,"$31,500",,,,
University of Kentucky (UK),Hispanic studies,"$17,700",0.87,2018-2019,5th,,"$18,000",,$300,
Georgia Institute of Technology (Georgia Tech),School of Chemistry and Biochemistry,"$24,140",1.04,2018-2019,5th,"$27,000",,,"$2,860",
Purdue University - West Lafayette,PULSe,"$23,100",1.09,2018-2019,3rd,"$24,000",,,$900,
Purdue University - West Lafayette,Agronomy,"$20,488",0.97,2019-2020,3rd,"$21,478",,,$990,
University of Washington (UW),immunobiology,"$25,000",1.07,2018-2019,,"$30,000",,,"$5,000",
University of Pennsylvania,Earth & Environmental Sciences,"$34,558",1.43,2019-2020,1st,"$34,558",,,,
University of California - Berkeley,"Environmental Science, Policy, and Management","$32,500",1.17,2018-2019,2nd,"$32,500",,,,Berkeley Fellowship in STEM.  No teaching required until third year.
University of Tulsa (TU),,"$24,000",1.21,2019-2020,1st,"$24,000",,,,
University of Vermont (UVM),"Cellular, Molecular, and Biomedical Sciences","$27,894",1.07,2019-2020,3rd,"$30,000",,,"$2,106",
University of Kansas (KU),English ,"$18,000",0.88,2018-2019,6th and up,,"$18,000",,,
University of Kansas (KU),English ,"$18,000",0.88,2018-2019,6th and up,,"$18,000",,,
University of Texas - Austin (UT),French and Italian,"$22,000",0.96,2019-2020,1st,,"$22,000",,,On recruitment fellowship
Test University,Test,"$26,000",,2018-2019,1st,,"$26,000",,,
Ball State University (BSU),Environmental Science,"$17,000",0.85,2018-2019,,,"$19,500",,"$2,500",
Texas A&amp;M; University - College Station,Chemical Engineering,"$26,600",,2019-2020,4th,"$27,600",,,"$1,000",$2077 in hand per month
Northwestern University (NU),Earth and Planetary sciences,"$23,500",0.97,2018-2019,2nd,"$24,000",,,$500,
Northwestern University (NU),Earth and Planetary sciences,"$1,500",0.06,2018-2019,2nd,"$2,000",,,$500,
University of Maine,Clinical Psychology,"$14,600",0.68,2018-2019,5th,,"$16,000",,"$1,400",
Portland State University (PSU),Psychology,"$10,620",0.45,2019-2020,2nd,,"$11,220",,$600,
University of Michigan - Ann Arbor (UM),Computer Science,"$30,067",1.30,2018-2019,2nd,"$30,067",,,,health and other fees paid by the institution. 
University of Arizona (U of A),pharmacology and toxicology,"$26,500",1.28,2019-2020,1st,"$27,000",,,$500,
Oregon State University (OSU),Crop and Soil science ,"$23,500",1.12,2018-2019,2nd,"$24,000",,,$500,
University of Chicago (UC),Political Science,"$-2,000",-0.08,2018-2019,3rd,"$2,000",,,"$4,000",
University of Chicago (UC),Political Science,"$-2,000",-0.08,2018-2019,3rd,"$2,000",,,"$4,000",
University of Idaho (UI),Physics,"$14,000",0.67,2018-2019,1st,"$14,000",,,,
University of Connecticut (UConn),Finance,"$24,000",0.99,2018-2019,1st,"$24,000",,,,
University of California - Berkeley,Chemistry,"$34,360",1.24,2019-2020,3rd,"$34,360",,,,
Yale University (YU),Anthropology,"$31,800",1.29,2019-2020,3rd,"$31,800",,,,Does not include summer funding
University of Houston (UH),Psychology,"$17,880",0.82,2018-2019,4th,"$17,880",,,,
Indiana University,Psychology,"$22,900",1.06,2019-2020,1st,,"$24,500",,"$1,600",
University of Nevada - Reno (UNR),Neuroscience,"$23,000",1.09,2019-2020,1st,"$25,000",,,"$2,000",
Florida Atlantic University (FAU),comparative studies,"$13,000",0.54,2018-2019,1st,,"$15,000",,"$2,000",
Cornell University (CU),Computer science ,"$36,601",1.51,2018-2019,2nd,,"$27,218","$9,425",$42,
Rensselaer Polytechnic Institute (RPI),Computer Science,"$28,860",1.27,2018-2019,5th,,"$23,000","$8,500","$2,640",
Duke University (DU),ECE,"$2,650",0.12,2019-2020,1st,"$2,650",,,,
University of Maryland - College Park (UMD),Geography,"$19,000",0.63,2018-2019,,,"$20,000",,"$1,000",
Harvard University (HU),Linguistics ,"$33,000",1.15,2018-2019,,"$33,000",,,,
University of Wisconsin - Milwaukee (UWM),Physics,"$24,770",1.15,2018-2019,1st,,"$22,500","$3,000",$730,
West Texas A&M University,Agriculture ,"$18,000",,2018-2019,2nd,"$18,000",,,,
University of South Alabama (USA),Basic medical sciences,"$26,890",1.17,2017-2018,2nd,"$27,000",,,$110,110 per semester.
University of Alabama - Huntsville (UAH),Atmospheric Science,"$18,000",0.85,2019-2020,1st,,"$18,000",,,
University of Missouri - Kansas City (UMKC),Psychology,"$9,000",0.43,2019-2020,2nd,,"$9,000",,,
Yale University (YU),Biomedical Engineering,"$35,000",1.42,2018-2019,5th,"$35,000",,,,
Duke University (DU),Engineering/Biomedical Engineering ,"$34,800",1.57,2018-2019,3rd,"$34,800",,,,
Duke University (DU),Engineering/Biomedical Engineering ,"$2,650",0.12,2018-2019,3rd,"$2,900",,,$250,
Rensselaer Polytechnic Institute (RPI),"Mechanical, Aeronautical, and Nuclear Engineering","$22,300",0.98,2019-2020,1st,,"$23,500",,"$1,200",
Dartmouth College,Physics and Astronomy,"$30,324",1.22,2017-2018,3rd,"$30,324",,,,
University of Utah,Chemistry,"$28,500",1.28,2018-2019,6th and up,"$28,500",,,,
Indiana University,Cognitive Science,"$19,463",0.90,2018-2019,2nd,"$21,766",,,"$2,303",Fees do not  include optional ~$80/sem parking permit. 
University of Vermont ,Natural Resources,"$27,500",,2019-2020,1st,"$27,500",,,,Our tuition is paid in full and we have health insurance 
University of Rhode Island (URI),Mechanical Engineering ,"$24,600",1.08,2018-2019,2nd,"$26,000",,,"$1,400",
Massachusetts Institute of Technology (MIT),EECS,"$41,700",1.49,2019-2020,1st,"$42,000",,,$300,Medical insurance and tuition are paid for by the department and do not come out of stipend.
Pennsylvania State University (Penn State),Biology,"$30,000",1.34,2018-2019,1st,,"$30,000",,,
CUNY Graduate School and University Center,chemistry,"$25,000",0.84,2015-2016,1st,"$25,000",,,,
University of Pittsburgh,Chemistry,"$2,907",0.14,2018-2019,2nd,"$3,312",,,$405,Fee is for health insurance every month. If you are still on your parents you could opt out of it.
North Carolina State University (NCSU),Comparative Biomedical Sciences,"$27,500",1.20,2019-2020,3rd,"$30,000",,,"$2,500","Our stipend was recently approved to go up to $30k, but the state currently has a freeze on raises. Once that is lifted, our programs stipend will increase. "
North Carolina State University (NCSU),Comparative Biomedical Sciences,"$27,500",1.20,2019-2020,3rd,"$30,000",,,"$2,500","Our stipend was recently approved to go up to $30k, but the state currently has a freeze on raises. Once that is lifted, our programs stipend will increase. "
University of Oklahoma Health Sciences Center,Biomedical Sciences,"$24,000",1.19,2015-2016,4th,"$24,000",,,,
University of Hawaii - Manoa (UH),Earth Science,"$27,126",0.89,2018-2019,2nd,"$28,026",,,$900,
University of Nevada - Reno (UNR),Chemical and Materials Engineering,"$22,000",1.05,2018-2019,3rd,"$24,000",,,"$2,000",General tuition costs for the 20% plus 100 dollars per credit in differential fees.
University of California - Los Angeles (UCLA),Mechanical and Aerospace Engineering,"$26,548",1.03,2018-2019,3rd,"$26,998",,,$450,
Carnegie Mellon University (CMU),Electrical and Computer Engineering,"$36,000",1.74,2019-2020,1st,"$36,000",,,,
University of Oregon (UO),Counseling Psychology ,"$16,875",0.80,2018-2019,3rd,,"$16,875",,,Very good health insurance. 
University of Texas Medical Branch - Galveston,Human Pathophysiology and Translational Medicine,"$31,000",1.42,2019-2020,3rd,"$31,000",,,,
Emory University,Chemistry,"$31,100",1.34,2019-2020,4th,"$31,500",,,$400,
Cornell University (CU),FSAD,"$27,218",1.12,2018-2019,2nd,,"$27,218",,,
University of Houston (UH),Chemical Engineering,"$26,000",1.19,2019-2020,4th,"$26,000",,,,
University of Wisconsin - Madison (UW),Biochemistry,"$29,000",1.27,2018-2019,1st,"$29,000",,,,
University of Tennessee - Knoxville,Mechanical Engineering,"$23,400",1.10,2018-2019,1st,"$25,000",,,"$1,600",
Worcester Polytechnic Institute (WPI),Robotics engineering,"$32,250",1.43,2018-2019,3rd,"$32,250",,,,
University of California - Santa Barbara (UCSB),Materials,"$32,000",1.22,2018-2019,5th,"$32,000",,,,
University of Michigan - Ann Arbor (UM),Chemistry ,"$26,000",1.32,2011-2012,1st,"$26,000",,,,
University of California - Los Angeles (UCLA),Chemical Engineering,"$31,000",1.20,2018-2019,3rd,"$31,000",,,,"Last submission was wrong, meant to put 31k not 3.1k"
University of California - Los Angeles (UCLA),Chemical Engineering,"$3,100",0.12,2018-2019,3rd,"$3,100",,,,
Baylor College of Medicine,,"$33,450",1.53,2019-2020,4th,"$33,500",,,$50,
University of California - Berkeley,Plant and Microbial Biology,"$37,080",1.34,2019-2020,1st,"$37,080",,,,
University of Georgia (UGA),Plant Breeding,"$27,000",1.28,2018-2019,4th,"$29,000",,,"$2,000",
University of Wisconsin - Milwaukee (UWM),Kinesiology,"$17,760",0.83,2018-2019,,"$17,760",,,,
Texas A&amp;M; University - College Station,Clinical Psychology,"$24,000",,2018-2019,3rd,,"$18,000","$6,000",,
Arizona State University (ASU),School of Human Evolution and Social Change,"$25,200",1.14,2019-2020,3rd,,"$20,000","$6,000",$800,"I make $2,000 more than most at my university due to the source of my funding. Additionally, because of my particular skillset I am often eligible for summer funding which is not always available reliably."
Georgia Institute of Technology (Georgia Tech),Mathematics,"$21,200",0.91,2019-2020,1st,"$22,600",,,"$1,400",
Kansas State University (K-State),Communication Studies,$785,0.04,2018-2019,2nd,$785,,,,
Massachusetts Institute of Technology (MIT),Chemistry ,"$3,025",0.11,2018-2019,1st,"$3,200",,,$175,
University of California - Berkeley,biology,"$38,000",1.37,2018-2019,1st,"$38,000",,,,
Case Western Reserve University,Neuroscience,"$29,953",1.50,2018-2019,,"$30,000",,,$47,
Purdue University - West Lafayette,Chemistry,"$23,830",1.13,2018-2019,1st,"$24,500",,,$670,
University of Chicago (UC),Economics,"$40,752",1.68,2019-2020,2nd,"$42,000",,,"$1,248",$38k + $4k Summer. Health insurance included.
Massachusetts Institute of Technology (MIT),Aeronautics and Astronautics,"$2,999",0.11,2019-2020,1st,"$2,999",,,,There is a required 'Activity Fee'  of $150 a semester. 
Rutgers the State University of New Jersey - New Brunswick,Sociology,"$21,000",0.81,2018-2019,1st,"$21,000",,,,
Saint Louis University,Biomedical Sciences,"$30,400",,2018-2019,1st,"$31,000",,,$600,
Clemson University (CU),Civil Engineering,"$21,000",1.01,2018-2019,3rd,"$21,000",,,,
University of Florida (UF),Plant Pathology,"$27,756",1.22,2018-2019,3rd,"$28,506",,,$750,
Colorado State University (CSU),Chemistry,"$25,000",1.11,2019-2020,1st,"$25,000",,,,
University of Southern California (USC),Environmental Engineering ,"$32,000",1.24,2019-2020,1st,"$32,000",,,,
Drexel University,Engineering,"$26,500",,2019-2020,1st,"$26,500",,,,
University of Minnesota - Twin Cities (UM),Neuroscience,"$29,000",1.27,2019-2020,1st,"$30,000",,,"$1,000",
University of Texas Southwestern Medical Center - Dallas,Graduate School of Biomedical Sciences (Molecular Biophysics),"$35,000",1.62,2019-2020,3rd,"$35,000",,,,"Insurance and other benefits are not included. Additional ~$3,000/year for medical, dental, and vision"
University of Mississippi Medical Center ,Neuroscience ,"$28,000",,2018-2019,1st,"$28,000",,,,
,,"$35,000",,2018-2019,,"$35,000",,,,
University of Pennsylvania,Neuroscience,"$34,000",1.41,2018-2019,1st,"$34,000",,,,
University of Texas - Austin (UT),Mechanical Engineering,"$1,958",0.09,2019-2020,1st,,"$1,958",,,
Stanford University (SU),Biophysics,"$26,839",0.93,2019-2020,1st,"$43,824",,,"$16,985",
University of California - San Diego (UCSD),,"$33,000",1.25,2019-2020,1st,"$33,000",,,,
Drexel University (DU),Chemical Engineering,"$29,000",1.20,2019-2020,1st,"$29,000",,,,
Oregon Health and Science University,PMCB,"$31,000",1.32,2018-2019,1st,"$31,000",,,,
McGill,AHCS,"$15,500",,2018-2019,,"$20,000",,,"$4,500","$20k guaranteed for four years, nothing included, will be rolled back if you get work as a TA/RA or if you get a travel grant for conference participation (!)"
Iowa State University (ISU),Chemical Engineering,$-80,-0.00,2019-2020,,,$10,$10,$100,
University of Southern California (USC),Linguistics,"$29,850",1.15,2019-2020,2nd,,"$30,000",,$150,
Pennsylvania State University (Penn State),Civil and Environmental Engineering,"$31,320",1.39,2019-2020,1st,,"$23,490","$7,830",,
Stanford University (SU),Chemistry,"$39,200",1.36,2018-2019,6th and up,"$40,000",,,$800,
Texas Christian University (TCU),Chemistry,"$21,500",0.99,2018-2019,1st,"$21,500",,,,
Massachusetts Institute of Technology (MIT),Sloan School of Management,"$43,220",1.55,2019-2020,1st,"$43,560",,,$340,"All insurance costs covered. Guaranteed 5 years of funding. Laptops provided in first and fourth year. $4,500 conference travel budget over five years. "
Massachusetts Institute of Technology (MIT),Department of Urban Studies and Planning,"$27,889",1.00,2019-2020,1st,,"$28,269",,$380,"Insurance plan costs $3,269 for an individual unless student can demonstrate comparable coverage. "
Brown University,Political Science,"$31,393",1.38,2019-2020,1st,,"$26,276","$5,243",$126,
University of Maryland - College Park (UMD),physics,"$27,350",0.90,2018-2019,1st,"$28,500",,,"$1,150",Insurance not covered and it is super expensive!
Rensselaer Polytechnic Institute (RPI),,"$23,500",1.03,2018-2019,1st,,"$23,500",,,
University of Wisconsin - Madison (UW),Mathematics,"$22,561",0.99,2019-2020,,,"$23,346",,$785,
Washington University in St. Louis (Wash U),Economics,"$26,006",1.26,2019-2020,2nd,"$26,256",,,$250,
Northwestern University (NU),Chemistry ,"$33,000",1.36,2019-2020,1st,,"$33,000",,,
,Physics,"$24,000",,2018-2019,1st,"$24,000",,,,
Rutgers the State University of New Jersey - New Brunswick,"School of Public Health, Department of Biostatistics and Epidemiology","$24,600",0.95,2019-2020,1st,"$25,000",,,$400,Tuition and health insurance coverage apart from stipend. Fees not covered (max $500 per semester)
University of Texas - Austin (UT),Mechanical Engineering,"$28,030",1.23,2019-2020,2nd,"$28,530",,,$500,$3500 from Engineering Fellowship
American University (AU),Political Science,"$27,000",0.87,2019-2020,2nd,,"$22,000","$5,000",,
Columbia University (CU),,"$40,400",1.36,2019-2020,,"$40,400",,,,
Illinois Institute of Technology (IIT),Biomedical Engineering,"$27,000",1.11,2018-2019,,"$27,000",,,,
Virginia Tech,statistics,"$13,279",0.63,2019-2020,1st,,"$14,679",,"$1,400",1400$  per semester service fee for campus can not be waived.
Virginia Tech,statistics,"$13,279",0.63,2019-2020,1st,,"$14,679",,"$1,400",1400$  per semester service fee for campus can not be waived.
North Carolina State University (NCSU),Biomedical Engineering,"$20,000",0.88,2018-2019,4th,"$24,000",,,"$4,000",
University of Cambridge (Gates Cambridge Scholarship),Clinical Medicine,"$22,000",,2019-2020,1st,"$22,000",,,,
Johns Hopkins University (JHU),Political Science,"$29,500",1.15,2019-2020,1st,"$29,500",,,,We also get health insurance that includes vision + dental
University of Texas - Dallas (UTD),Public Affairs,"$18,000",0.83,2019-2020,1st,"$18,000",,,,Tuition scholarship 
University of California - Los Angeles (UCLA),"Decisions, Operations, and Technology Management","$35,000",1.35,2019-2020,1st,"$35,000",,,,Health insurance included.
University of Texas - Austin (UT),Government,"$24,000",1.05,2019-2020,2nd,,"$24,000",,,Summer funding available upon successful application within department
University of Texas - Austin (UT),Government,"$34,000",1.49,2018-2019,1st,,"$34,000",,,Summer funding available upon successful application within department
Drexel University (DU),Biomedical Engineering,"$29,000",1.20,2018-2019,6th and up,"$29,000",,,,
Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,"$40,200",1.73,2018-2019,2nd,"$40,200",,,,SMART
Indiana University,Earth and Atmospheric Science,"$38,400",1.78,2019-2020,1st,"$38,400",,,,DOD NDSEG Fellowship
University of Washington (UW),Psychology,"$22,800",0.98,2018-2019,4th,"$24,000",,,"$1,200",
Texas Christian University (TCU),Psychology,"$19,750",0.91,2019-2020,,"$19,750",,,,
George Washington University (GW),Biology,"$28,000",0.91,2017-2018,,"$28,000",,,,
Drexel University (DU),Clinical Psychology Ph.D.,"$19,000",0.79,2019-2020,3rd,,"$19,000",,,"Additional $2,000 fellowship from Graduate College; Aetna health insurance included"
University of Rochester (UR),Chemical Engineering,"$28,000",1.31,2019-2020,1st,"$28,000",,,,
Ohio State University (OSU),Education Studies,"$20,820",1.04,2018-2019,3rd,"$22,020",,,"$1,200",
Ohio State University (OSU),Education Studies,"$21,840",1.09,2019-2020,4th,"$23,040",,,"$1,200",
SUNY College of Environmental Science and Forestry,Environmental and Forest Biology,"$10,760",0.50,2018-2019,3rd,,"$12,060",,"$1,300",MS student on assistantship
,,"$15,000",,2018-2019,,"$28,000",,,"$13,000",
HNGU UNIVERSITY PATAN,PH.D,"$-10,000",,2019-2020,1st,"$10,000",,,"$20,000",
Princeton University,Geoscience,"$37,000",1.46,2018-2019,2nd,,"$29,000","$8,000",,
Harvard University (HU),Science and art,"$42,000",1.47,2018-2019,1st,"$42,000",,,,
Cold Spring Harbor Laboratory,,"$34,000",,2018-2019,5th,"$34,000",,,,
Emory University,Graduate Division of Religion,"$32,500",1.40,2018-2019,2nd,"$33,500",,,"$1,000",
Emory University,Graduate Division of Religion,"$32,500",1.40,2018-2019,2nd,"$33,500",,,"$1,000",
Northeastern University (NU),ECON,"$22,100",0.77,2018-2019,2nd,,"$22,500",,$400,
University of Montana (UM),sociology,"$9,000",0.41,2018-2019,1st,,"$9,000",,,
Drexel University (DU),Chemical and Biological Engineering,"$28,500",1.18,2018-2019,3rd,"$28,500",,,,Philadelphia wage tax and federal withholding are the only deductions
Drexel University (DU),Microbiology and Immunology,"$2,100",0.09,2018-2019,2nd,"$2,500",,,$400,
The University of Alabama,"English, CRES","$14,360",,2018-2019,1st,"$14,360",,,,
Michigan Technological University (MTU),Mechanical Engineering,"$27,150",1.34,2019-2020,,"$27,150",,,,
University of Michigan - Ann Arbor (UM),Mechanical Engineering,"$2,780",0.12,2019-2020,1st,"$2,780",,,,
Drexel University (DU),Computer Science,"$32,000",1.33,2018-2019,3rd,"$32,000",,,,Health covered.
Drexel University (DU),Physics,"$25,000",1.04,2018-2019,6th and up,"$25,000",,,,
Drexel University (DU),Physics,"$2,083",0.09,2018-2019,6th and up,"$2,083",,,,
Drexel University (DU),Computer Science,"$21,300",0.88,2018-2019,2nd,"$21,600",,,$300,"TA stipend, plus hours in tutoring center.  some health benefits. PhD candidates receive full tuition remission."
Drexel University (DU),Chemistry,"$23,500",0.97,2018-2019,4th,"$23,500",,,,
Drexel University (DU),CCI,"$1,500",0.06,2018-2019,3rd,"$1,800",,,$300,
Drexel University (DU),Clinical Psychology,"$19,000",0.79,2019-2020,3rd,"$19,000",,,,"Base $17,000 + $2,000/year extra from Drexel Graduate College. Free health insurance (Aetna)"
Drexel University (DU),psychology,"$17,000",0.71,2018-2019,3rd,,"$17,000",,,
Drexel University (DU),Physics,"$23,500",0.97,2018-2019,1st,"$23,500",,,,
Drexel University (DU),ECE,"$26,400",1.10,2018-2019,6th and up,"$26,400",,,,
Drexel University (DU),Chemistry,"$24,250",1.01,2018-2019,3rd,"$24,250",,,,"1/2 TF, 1/2 RF"
Drexel University (DU),Chemistry/PhD,"$23,500",0.97,2018-2019,6th and up,"$23,500",,,,
Drexel University (DU),Chemical and Biological Engineering,"$34,000",1.41,2019-2020,4th,"$34,000",,,,"Health Insurance Covered by Grad College, Standard Department Stipend is 26,000"
Drexel University (DU),Chemistry/PhD,"$23,500",0.97,2018-2019,2nd,"$23,500",,,,
Drexel University (DU),Mathematics ,"$24,000",1.00,2018-2019,4th,,"$19,000","$5,000",,
Drexel University (DU),Physics,"$23,500",0.97,2018-2019,2nd,"$23,500",,,,
Drexel University (DU),Chemistry,"$23,500",0.97,2019-2020,3rd,"$23,500",,,,
Drexel University (DU),Chemistry,"$23,500",0.97,2019-2020,3rd,"$23,500",,,,
Drexel University (DU),chemistry,"$23,500",0.97,2018-2019,1st,"$23,500",,,,
Drexel University (DU),Chemistry ,"$23,500",0.97,2019-2020,3rd,"$23,500",,,,
Drexel University (DU),Biology,"$25,000",1.04,2018-2019,,"$25,000",,,,+health care (~2600 a year)
Texas A&amp;M; University - College Station,English,"$15,500",,2019-2020,1st,,"$15,500","$2,500","$2,500",
Purdue University - West Lafayette,physics,"$-80,000",-3.78,2019-2020,1st,"$20,000",,,"$100,000",
University of Washington (UW),Speech and Hearing Sciences,"$21,000",0.90,2018-2019,1st,"$21,000",,,,
Massachusetts Institute of Technology (MIT),"Earth, Atmospheric and Planetary Sciences","$39,000",1.40,2018-2019,1st,"$39,000",,,,Insurance is covered
Drexel University (DU),Physics,"$23,500",0.97,2018-2019,1st,"$23,500",,,,
University of Texas - Austin (UT),Biochemistry,"$30,000",1.31,2018-2019,1st,"$30,000",,,,
Massachusetts Institute of Technology (MIT),Mechanical Engineering,"$39,346",1.41,2019-2020,4th,"$39,516",,,$170,
Rice University,Biochemistry and Cell Biology,"$30,200",1.38,2019-2020,,"$31,000",,,$800,Partially subsidized health insurance. Required med center payment.
Georgetown University,Interdisciplinary Program in Neuroscience,"$31,000",1.00,2019-2020,5th,"$31,000",,,,30-40% of  this goes to housing with 1-3 roommates in the DC Metro Area. Health insurance (albeit with a $6000 out of pocket maximum) is covered by the university. The only additional fees that students are responsible for is a small (~$17 this year) student activity fee. Wages for the biomedical programs often stagnate so you can't count on an annual increase. This is for a research assistantship which is most often synonymous with your dissertation work.
University of Texas - Austin (UT),ECE,"$34,575",1.51,2019-2020,1st,,"$29,925","$4,650",,
University of South Florida (UCF),Psychology,"$16,000",0.73,2018-2019,2nd,"$17,000",,,"$1,000",
Northern Illinois University (NIU),Economics,"$11,060",0.50,2018-2019,1st,,"$14,060",,"$3,000",
University of Toledo,Psychology,"$16,076",0.86,2018-2019,1st,,"$14,000","$4,000","$1,924",Summer stipend not guaranteed but has been fairly dependable.
Georgia Institute of Technology (Georgia Tech),,"$28,200",1.21,2018-2019,,"$28,200",,,,
University at Buffalo - SUNY,Economics,"$13,500",0.64,2017-2018,3rd,,"$14,500",,"$1,000",
University at Buffalo - SUNY,Economics,"$13,100",0.62,2016-2017,2nd,,"$14,100",,"$1,000",
University at Buffalo - SUNY,Economics,"$12,300",0.59,2015-2016,1st,,"$13,300",,"$1,000",
Northwestern University (NU),Finance,"$38,500",1.59,2019-2020,2nd,"$38,500",,,,
,,"$42,700",,2018-2019,,"$42,700",,,,
University of Louisville (U of L),Education,"$1,350",0.07,2019-2020,2nd,"$1,500",,,$150,
Universidade Tiradentes,Medicine,$500,,2018-2019,1st,$500,,,,
Tulane University (TU),LATIN AMERICAN STUDIES,"$19,500",0.85,2019-2020,1st,,"$19,500",,,
Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,"$27,252",1.17,2019-2020,4th,"$27,252",,,,
Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,"$24,377",1.05,2019-2020,4th,"$27,252",,,"$2,875",
Georgia Institute of Technology (Georgia Tech),Chemistry,"$24,900",1.07,2018-2019,5th,"$27,000",,,"$2,100",
,,"$26,450",,2018-2019,,,"$23,500","$4,000","$1,050",
University of Pittsburgh,Education,"$29,110",1.41,2018-2019,4th,"$29,200",,,$90,"Tuition waiver; as a single person I pay about $35/month total for medical, dental, and optical insurance"
Arizona State University (ASU),Psychology,"$23,400",1.05,2018-2019,3rd,"$24,000",,,$600,
,chemistry,"$27,600",,2018-2019,,"$27,600",,,,
,,"$27,600",,2018-2019,,"$27,600",,,,
Vanderbilt University,cell and developmental biology,"$16,920",0.74,2018-2019,1st,"$32,050",,,"$15,130",
Rice University,Psychological sciences,"$21,100",0.97,2018-2019,3rd,"$22,500",,,"$1,400",2019/2020 basic stipend rose to 27500 for all students
University of Southern California (USC),Communication,"$34,000",1.31,2019-2020,2nd,"$34,000",,,,
University of Texas - Dallas (UTD),Neuroscience,"$24,000",1.11,2018-2019,,"$24,000",,,,"No healthcare, UTD blows"
University of Kentucky (UK),BAE,"$19,300",0.95,2019-2020,1st,"$20,000",,,$700,
Arizona State University (ASU),School of Biological and Health Systems Engineering ,"$16,200",0.73,2018-2019,4th,"$19,200",,,"$3,000",
Dartmouth College,Physics,"$2,600",0.10,2018-2019,,"$2,600",,,,
Texas A&amp;M; University - College Station,Posc,"$18,000",,2018-2019,5th,"$18,000",,,,
University of Georgia (UGA),Chemistry,"$21,000",0.99,2018-2019,5th,"$23,500",,,"$2,500",
Duke University (DU),Biology,"$27,000",1.21,2017-2018,2nd,,"$21,500","$5,500",,
North Carolina State University (NCSU),Mechanical and Aerospace Engineering,"$29,250",1.28,2018-2019,1st,"$30,000",,,$750,1st year recruitment fellowship
